account_id,customer_id,account_type,opening_date,balance,status,interest_rate,currency,branch_code
ACC935149,CUS45047,Investment,2020-01-19,782388.22,Closed,8.33,ZAR,267056
ACC110854,CUS57864,Credit Card,2023-04-29,191544.1,Active,4.33,ZAR,267988
ACC870658,CUS79223,Current,2020-06-29,218340.1,Active,8.35,ZAR,209026
ACC780676,CUS79223,Home Loan,2021-12-22,363243.21,Active,7.43,ZAR,249448
ACC990095,CUS79223,Credit Card,2022-05-10,209046.67,Closed,4.69,ZAR,297656
ACC141200,CUS79223,Current,2024-08-18,357693.69,Active,6.27,ZAR,214017
ACC618663,CUS69547,Home Loan,2022-10-30,994684.09,Active,5.06,ZAR,261620
ACC538927,CUS56127,Investment,2022-09-21,798852.77,Active,8.66,ZAR,225337
ACC837885,CUS24447,Current,2023-04-01,423450.13,Active,10.18,ZAR,258828
ACC351663,CUS12435,Investment,2020-06-12,608564.12,Closed,10.15,ZAR,275851
ACC746435,CUS12435,Credit Card,2022-10-14,217967.76,Dormant,6.06,ZAR,222417
ACC645516,CUS12435,Current,2021-06-30,790444.77,Dormant,8.75,ZAR,275909
ACC877249,CUS12435,Home Loan,2020-09-05,731506.34,Active,6.82,ZAR,263118
ACC826059,CUS75615,Home Loan,2020-10-08,328818.62,Closed,11.21,ZAR,211906
ACC698369,CUS75615,Investment,2023-08-29,902071.48,Active,4.88,ZAR,224339
ACC620224,CUS66363,Home Loan,2023-09-04,367533.1,Active,9.93,ZAR,260519
ACC458083,CUS66363,Home Loan,2020-12-20,768735.81,Active,10.44,ZAR,282879
ACC734933,CUS66363,Current,2020-02-24,982796.4,Active,4.22,ZAR,294558
ACC408505,CUS13550,Home Loan,2020-07-14,946315.85,Dormant,5.41,ZAR,297249
ACC850864,CUS13550,Savings,2021-07-30,439974.94,Active,4.92,ZAR,237720
ACC123089,CUS46927,Investment,2023-10-08,678279.83,Active,7.18,ZAR,268399
ACC464892,CUS46927,Investment,2023-01-22,428169.65,Active,10.2,ZAR,241187
ACC171163,CUS46927,Current,2020-03-21,2082.32,Active,10.1,ZAR,245121
ACC750065,CUS46927,Investment,2022-01-03,186219.08,Active,9.14,ZAR,207743
ACC601089,CUS20444,Savings,2020-11-04,516337.62,Dormant,3.91,ZAR,278742
ACC521672,CUS20444,Current,2024-06-07,598745.39,Closed,5.13,ZAR,200697
ACC550804,CUS20444,Current,2023-11-26,256957.48,Dormant,9.08,ZAR,221696
ACC564423,CUS99877,Credit Card,2020-10-15,533421.3,Closed,3.67,ZAR,222450
ACC676698,CUS99877,Home Loan,2021-04-19,914111.28,Active,3.75,ZAR,234055
ACC899147,CUS77699,Credit Card,2022-12-29,918672.51,Closed,4.98,ZAR,278833
ACC377610,CUS77699,Home Loan,2020-02-14,409599.2,Closed,9.47,ZAR,237175
ACC148200,CUS20944,Credit Card,2022-11-25,725538.53,Active,6.29,ZAR,219191
ACC309020,CUS20944,Investment,2021-07-07,105097.25,Closed,4.08,ZAR,233752
ACC925966,CUS20944,Credit Card,2021-07-01,170172.39,Closed,6.32,ZAR,264215
ACC190775,CUS32766,Credit Card,2021-07-30,74837.73,Active,11.86,ZAR,260679
ACC487322,CUS32766,Investment,2021-09-24,188959.49,Closed,5.6,ZAR,228120
ACC570112,CUS32766,Credit Card,2022-08-03,919429.69,Active,3.69,ZAR,223436
ACC686149,CUS32766,Credit Card,2020-12-15,485335.48,Closed,10.51,ZAR,272361
ACC217255,CUS38973,Credit Card,2023-05-01,733098.4,Dormant,7.2,ZAR,216560
ACC654634,CUS91922,Home Loan,2023-01-09,44059.12,Active,7.13,ZAR,214651
ACC268516,CUS58427,Credit Card,2023-02-27,494856.22,Active,10.37,ZAR,235662
ACC770749,CUS58427,Current,2023-09-06,461665.93,Closed,4.46,ZAR,213154
ACC710180,CUS58427,Investment,2020-08-16,29031.66,Closed,9.95,ZAR,216631
ACC843870,CUS27165,Savings,2023-02-10,3897.52,Closed,5.36,ZAR,209619
ACC366102,CUS27165,Savings,2021-12-06,269765.86,Closed,5.15,ZAR,234927
ACC817536,CUS11673,Home Loan,2024-05-19,804144.38,Closed,9.19,ZAR,226272
ACC899345,CUS11673,Current,2022-03-29,666753.88,Active,10.39,ZAR,270598
ACC903921,CUS11673,Investment,2022-11-12,955805.69,Closed,10.2,ZAR,288446
ACC431862,CUS11673,Savings,2020-04-30,947865.77,Closed,7.57,ZAR,288244
ACC560630,CUS17668,Savings,2024-02-20,777388.38,Dormant,4.26,ZAR,212765
ACC654532,CUS17668,Current,2020-01-26,558244.7,Closed,7.23,ZAR,236258
ACC870655,CUS24894,Investment,2023-06-27,353071.87,Closed,5.77,ZAR,231919
ACC693331,CUS61228,Home Loan,2021-04-12,922908.03,Closed,9.21,ZAR,265111
ACC399882,CUS61228,Savings,2020-09-23,583923.03,Dormant,7.94,ZAR,200338
ACC402565,CUS61228,Home Loan,2022-05-05,476693.07,Dormant,5.59,ZAR,216646
ACC875758,CUS61228,Current,2021-12-01,867650.83,Dormant,11.31,ZAR,222648
ACC296273,CUS63607,Savings,2023-11-30,382784.54,Active,5.7,ZAR,225671
ACC527296,CUS63607,Current,2024-08-13,487583.72,Dormant,6.15,ZAR,292023
ACC213077,CUS37463,Investment,2023-11-22,345041.99,Dormant,7.64,ZAR,231074
ACC631512,CUS37463,Home Loan,2020-02-17,699148.84,Active,11.28,ZAR,294732
ACC969161,CUS37463,Investment,2024-10-29,308773.46,Active,3.9,ZAR,222380
ACC222499,CUS37463,Current,2021-08-27,432528.44,Closed,9.58,ZAR,226841
ACC865368,CUS24172,Credit Card,2024-04-14,675430.58,Active,10.09,ZAR,284562
ACC345983,CUS24172,Home Loan,2023-05-11,204160.61,Active,10.08,ZAR,252485
ACC807315,CUS24172,Savings,2023-12-13,648748.2,Closed,5.97,ZAR,206491
ACC404520,CUS49778,Investment,2024-06-02,776960.56,Active,8.29,ZAR,220025
ACC281507,CUS49778,Current,2020-11-20,675756.93,Closed,9.67,ZAR,250213
ACC167631,CUS49778,Home Loan,2021-08-05,734735.53,Active,8.36,ZAR,255421
ACC527167,CUS83165,Savings,2024-07-27,957021.58,Dormant,6.41,ZAR,292911
ACC890063,CUS83165,Current,2023-08-31,630790.2,Active,7.67,ZAR,270890
ACC773761,CUS83165,Current,2023-01-31,46159.37,Dormant,10.04,ZAR,205500
ACC568012,CUS83165,Credit Card,2022-02-25,49600.52,Closed,4.12,ZAR,232593
ACC147990,CUS41582,Current,2020-11-08,223644.09,Dormant,4.8,ZAR,225056
ACC259990,CUS15368,Savings,2024-05-22,109921.93,Active,6.86,ZAR,217238
ACC778833,CUS88005,Credit Card,2020-11-26,844114.82,Dormant,4.73,ZAR,276519
ACC652772,CUS88005,Current,2023-09-24,169277.54,Dormant,9.95,ZAR,263519
ACC978439,CUS88005,Current,2023-02-28,226706.48,Dormant,7.47,ZAR,289289
ACC579324,CUS88005,Credit Card,2022-05-15,984488.8,Active,10.85,ZAR,201703
ACC489958,CUS27109,Credit Card,2023-05-08,652106.08,Dormant,4.29,ZAR,203771
ACC249304,CUS27109,Savings,2024-03-31,71345.12,Active,3.57,ZAR,237206
ACC241074,CUS27109,Home Loan,2023-02-10,168899.66,Active,3.9,ZAR,206061
ACC309076,CUS28514,Credit Card,2020-06-25,907611.27,Active,11.72,ZAR,283151
ACC864102,CUS28514,Home Loan,2024-04-28,481067.29,Closed,7.33,ZAR,207592
ACC882955,CUS28514,Current,2023-05-26,454197.75,Active,4.27,ZAR,204615
ACC221897,CUS28514,Credit Card,2023-08-11,617077.82,Active,7.2,ZAR,248193
ACC983391,CUS89051,Savings,2022-04-07,456305.81,Active,5.31,ZAR,220306
ACC357278,CUS91494,Home Loan,2021-09-18,72386.04,Dormant,11.32,ZAR,258368
ACC521010,CUS91494,Home Loan,2022-08-31,150343.21,Dormant,10.55,ZAR,237411
ACC534125,CUS91494,Home Loan,2024-03-22,715976.64,Dormant,7.48,ZAR,206697
ACC961616,CUS91494,Credit Card,2022-09-19,289157.04,Dormant,5.51,ZAR,299787
ACC195061,CUS56257,Savings,2020-10-10,616586.49,Closed,4.5,ZAR,201653
ACC973809,CUS56257,Home Loan,2023-03-05,713387.69,Active,11.77,ZAR,296175
ACC341385,CUS56257,Investment,2020-01-28,410733.85,Active,6.77,ZAR,281625
ACC255357,CUS33346,Current,2022-03-29,87434.3,Dormant,5.95,ZAR,202173
ACC552670,CUS33346,Credit Card,2022-05-26,83004.74,Dormant,5.03,ZAR,266175
ACC581274,CUS33346,Current,2021-03-21,650640.63,Active,8.44,ZAR,202026
ACC189181,CUS33346,Home Loan,2021-03-24,876169.23,Closed,8.79,ZAR,247827
ACC994623,CUS94692,Savings,2020-04-11,582357.03,Active,8.95,ZAR,259119
ACC833655,CUS94692,Home Loan,2020-10-03,508251.1,Active,10.56,ZAR,284830
ACC402370,CUS94692,Credit Card,2020-05-02,521783.87,Active,6.93,ZAR,276149
ACC402536,CUS13666,Investment,2022-06-11,972051.8,Active,6.23,ZAR,271253
ACC312091,CUS13666,Credit Card,2023-06-24,816911.85,Dormant,7.63,ZAR,207708
ACC606860,CUS48441,Savings,2020-10-21,60862.56,Active,11.63,ZAR,235931
ACC120755,CUS87673,Home Loan,2024-09-17,958920.11,Active,8.39,ZAR,297332
ACC926381,CUS87673,Savings,2020-02-26,912215.74,Active,8.16,ZAR,282112
ACC963657,CUS87673,Current,2023-12-14,70947.35,Dormant,8.6,ZAR,218230
ACC952096,CUS87673,Current,2024-05-17,329574.62,Active,6.42,ZAR,297042
ACC479899,CUS64354,Savings,2024-05-25,157197.84,Active,8.65,ZAR,254374
ACC257419,CUS64354,Investment,2022-03-19,333129.38,Active,4.93,ZAR,231990
ACC168225,CUS64354,Current,2020-09-09,846563.68,Active,6.77,ZAR,200212
ACC455488,CUS51130,Credit Card,2023-06-18,932875.44,Active,6.52,ZAR,273365
ACC204241,CUS51130,Investment,2020-11-04,966713.41,Dormant,5.07,ZAR,267161
ACC365688,CUS51130,Home Loan,2020-09-27,415987.2,Active,8.19,ZAR,203764
ACC747820,CUS97764,Current,2020-03-20,937024.85,Active,5.97,ZAR,234934
ACC592010,CUS97764,Home Loan,2020-02-20,820167.55,Dormant,10.96,ZAR,281942
ACC336518,CUS97764,Current,2023-12-01,893839.39,Dormant,8.73,ZAR,251496
ACC480225,CUS97764,Credit Card,2020-03-10,610095.39,Dormant,7.19,ZAR,213226
ACC909116,CUS45497,Current,2023-08-18,964014.68,Active,6.38,ZAR,232289
ACC774806,CUS45497,Home Loan,2024-01-02,80496.02,Active,8.24,ZAR,250370
ACC599912,CUS99054,Home Loan,2020-12-01,791144.44,Active,11.73,ZAR,298851
ACC854828,CUS99054,Investment,2023-11-02,796999.64,Dormant,6.21,ZAR,294136
ACC592753,CUS99054,Home Loan,2021-03-02,974904.48,Dormant,9.4,ZAR,237203
ACC296645,CUS18102,Investment,2023-03-04,49738.75,Active,11.24,ZAR,212170
ACC339452,CUS18102,Current,2020-01-14,400398.08,Active,6.99,ZAR,202214
